,Unnamed: 0,dvrpc_2010,dvrpc_2015,naip_2010,naip_2015
18,18,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1711:88074.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1711:88074.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1711:88074.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1711:88074.png
21,21,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1043:89115.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1043:89115.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1043:89115.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1043:89115.png
22,22,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-698:88175.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-698:88175.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-698:88175.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-698:88175.png
27,27,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1158:89313.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1158:89313.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1158:89313.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1158:89313.png
32,32,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1470:88711.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1470:88711.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1470:88711.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1470:88711.png
33,33,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-934:88552.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-934:88552.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-934:88552.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-934:88552.png
41,41,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-691:88846.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-691:88846.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-691:88846.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-691:88846.png
43,43,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1238:88034.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1238:88034.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1238:88034.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1238:88034.png
67,67,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1460:88735.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1460:88735.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1460:88735.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1460:88735.png
78,78,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1004:88487.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1004:88487.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1004:88487.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1004:88487.png
81,81,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1181:88572.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1181:88572.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1181:88572.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1181:88572.png
84,84,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1122:88933.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1122:88933.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1122:88933.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1122:88933.png
86,86,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-133:88635.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-133:88635.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-133:88635.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-133:88635.png
87,87,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-475:89396.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-475:89396.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-475:89396.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-475:89396.png
91,91,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1335:88095.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1335:88095.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1335:88095.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1335:88095.png
92,92,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-537:88929.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-537:88929.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-537:88929.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-537:88929.png
101,101,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-657:88927.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-657:88927.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-657:88927.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-657:88927.png
120,120,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-532:88601.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-532:88601.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-532:88601.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-532:88601.png
122,122,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1007:88844.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1007:88844.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1007:88844.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1007:88844.png
123,123,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-656:89415.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-656:89415.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-656:89415.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-656:89415.png
126,126,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-900:88182.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-900:88182.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-900:88182.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-900:88182.png
128,128,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:169:89186.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:169:89186.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:169:89186.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:169:89186.png
134,134,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-290:89492.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-290:89492.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-290:89492.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-290:89492.png
146,146,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-728:88716.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-728:88716.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-728:88716.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-728:88716.png
150,150,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-224:88528.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-224:88528.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-224:88528.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-224:88528.png
152,152,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-1196:89121.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-1196:89121.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-1196:89121.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-1196:89121.png
155,155,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-111:88605.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-111:88605.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-111:88605.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-111:88605.png
167,167,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-662:88200.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-662:88200.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-662:88200.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-662:88200.png
183,183,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-268:88768.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-268:88768.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-268:88768.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-268:88768.png
191,191,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2010/imagery/500:0:0.1:18:-83:88674.png,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/good2015/imagery/500:0:0.1:18:-83:88674.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2010/imagery/500:0:0.1:18:-83:88674.png,/deep/group/aicc-bootcamp/transportation/data/naip/aerial/2015/imagery/500:0:0.1:18:-83:88674.png
