,image,has_road
0,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-796:88651.png,yes
1,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:649:88609.png,yes
2,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-1065:88703.png,yes
3,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-745:88488.png,yes
4,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:506:88268.png,yes
5,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-957:89194.png,yes
6,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-52:88417.png,yes
7,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-162:88368.png,yes
8,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-207:88892.png,yes
9,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-296:87886.png,yes
10,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-238:89462.png,yes
11,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-362:88372.png,yes
12,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-900:88580.png,yes
13,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:130:88371.png,yes
14,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-701:88782.png,yes
15,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-347:88883.png,yes
16,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-335:88473.png,yes
17,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:40:88432.png,yes
18,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-933:88532.png,yes
19,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-74:88117.png,yes
20,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-170:88807.png,yes
21,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-645:88186.png,yes
22,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-506:89365.png,yes
23,/deep/group/aicc-bootcamp/transportation/data/dvrpc/aerial/imagery/500:0:0.1:18:-302:88328.png,yes
